Confusable, Canonical Character
"kʼ","k'"
"k̒","k'"
"k̓","k'"
"k̔","k'"
"k̕","k'"
"k＇","k'"
"kˈ","k'"
"k’","k'"
"k՚","k'"
"x̲","x̱"
"x̠","x̱"
"x_","x̱"
"tl＇","tl'"
"tl’","tl'"
"tl̓","tl'"
"tl̕","tl'"
"tl̒","tl'"
"tl̔","tl'"
"tlʼ","tl'"
"tlˈ","tl'"
"tl՚","tl'"
"＇n","'n"
"’n","'n"
"ʼn","'n"
"ˈn","'n"
"՚n","'n"
"‘n","'n"
"ḵ̕","ḵ'"
"k_’","ḵ'"
"k̠ʼ","ḵ'"
"ḵ’","ḵ'"
"k_՚","ḵ'"
"k̲’","ḵ'"
"k̲՚","ḵ'"
"ḵʼ","ḵ'"
"ḵ＇","ḵ'"
"ḵˈ","ḵ'"
"k̠՚","ḵ'"
"k̠’","ḵ'"
"k_ʼ","ḵ'"
"ḵ̓","ḵ'"
"ḵ̒","ḵ'"
"ḵ̔","ḵ'"
"k̲ʼ","ḵ'"
"ḵ՚","ḵ'"
"p̒","p'"
"p̓","p'"
"p̔","p'"
"p̕","p'"
"p＇","p'"
"p’","p'"
"p՚","p'"
"pʼ","p'"
"p̍","p'"
"ts̒","ts'"
"ts̔","ts'"
"ts̓","ts'"
"ts̕","ts'"
"tsˈ","ts'"
"ts՚","ts'"
"ts＇","ts'"
"ts’","ts'"
"tsʼ","ts'"
"kw＇","kw'"
"kw’","kw'"
"kw̓","kw'"
"kw̕","kw'"
"kw̒","kw'"
"kw̔","kw'"
"kwʼ","kw'"
"kwˈ","kw'"
"kw՚","kw'"
"＇m","'m"
"’m","'m"
"ʼm","'m"
"ˈm","'m"
"՚m","'m"
"‘m","'m"
"＇y","'y"
"’y","'y"
"ʼy","'y"
"ˈy","'y"
"՚y","'y"
"‘y","'y"
"＇l","'l"
"’l","'l"
"ʼl","'l"
"ˈl","'l"
"՚l","'l"
"‘l","'l"
"＇w","'w"
"’w","'w"
"ʼw","'w"
"ˈw","'w"
"՚w","'w"
"‘w","'w"
"g_","g̱"
"g̠","g̱"
"g̲","g̱"
"＇","'"
"’","'"
"՚","'"
"ʼ","'"
"‘","'"
"k̲","ḵ"
"k̠","ḵ"
"k_","ḵ"
"t̔","t'"
"t̕","t'"
"t＇","t'"
"tˈ","t'"
"t’","t'"
"t՚","t'"
"tʼ","t'"
"t̒","t'"
"t̓","t'"
