Sort Order,Character,Approximate Latin Form(s)
"1","ch",""
"2","chʼ",""
"3","d",""
"4","ddh",""
"5","dh",""
"6","dl",""
"7","dz",""
"8","g",""
"9","gh",""
"10","ghw",""
"11","gw",""
"12","h",""
"13","j",""
"14","k",""
"15","kh",""
"16","khw",""
"17","kw",""
"18","kʼ",""
"19","kʼw",""
"20","l",""
"21","ł",""
"22","m",""
"23","mb",""
"24","n",""
"25","nd",""
"26","nj",""
"27","r",""
"28","s",""
"29","sh",""
"30","t",""
"31","tʼ",""
"32","th",""
"33","tl",""
"34","tth",""
"35","tthʼ",""
"36","ts",""
"37","tsʼ",""
"38","tlʼ",""
"39","y",""
"40","w",""
"41","z",""
"42","zh",""
"43","ʼ",""
"44","a",""
"45","ä",""
"46","à",""
"47","ā",""
"48","á",""
"49","ą",""
"50","ą̈",""
"51","ą̀",""
"52","ą̄",""
"53","ą́",""
"54","ą̈w",""
"55","ąw",""
"56","ąy",""
"57","äy",""
"58","ą̈y",""
"59","e",""
"60","è",""
"61","i",""
"62","o",""
"63","u",""
"64","ü",""
"65","ų̈",""
"66","ē",""
"67","ī",""
"68","ō",""
"69","ū",""
"70","é",""
"71","í",""
"72","ó",""
"73","ú",""
"74","ę",""
"75","į",""
"76","ǫ",""
"77","ų",""
"78","â",""
"79","ê",""
"80","î",""
"81","ô",""
"82","û",""
"83","ǎ",""
"84","ě",""
"85","ǐ",""
"86","ǒ",""
"87","ǔ",""
"88","ā́",""
"89","ḗ",""
"90","ī́",""
"91","ṓ",""
"92","ū́",""
